budget,id,popularity,release_date,revenue,runtime,title,vote_average
30000000,862,21.946943,1995-10-30,373554033.0,81.0,Toy Story,7.7
65000000,8844,17.015539,1995-12-15,262797249.0,104.0,Jumanji,6.9
16000000,31357,3.859495,1995-12-22,81452156.0,127.0,Waiting to Exhale,6.1
60000000,949,17.924927,1995-12-15,187436818.0,170.0,Heat,7.7
58000000,11860,6.677277,1995-12-15,0.0,127.0,Sabrina,6.2
35000000,9091,5.23158,1995-12-22,64350171.0,106.0,Sudden Death,5.5
58000000,710,14.686036,1995-11-16,352194034.0,130.0,GoldenEye,6.6
62000000,9087,6.318445,1995-11-17,107879496.0,106.0,The American President,6.5
44000000,10858,5.092,1995-12-22,13681765.0,192.0,Nixon,7.1
98000000,1408,7.284477,1995-12-22,10017322.0,119.0,Cutthroat Island,5.7
52000000,524,10.137389,1995-11-22,116112375.0,178.0,Casino,7.8
16500000,4584,10.673167,1995-12-13,135000000.0,136.0,Sense and Sensibility,7.2
4000000,5,9.026586,1995-12-09,4300000.0,98.0,Four Rooms,6.5
30000000,9273,8.205448,1995-11-10,212385533.0,90.0,Ace Ventura: When Nature Calls,6.1
60000000,11517,7.337906,1995-11-21,35431113.0,103.0,Money Train,5.4
30250000,8012,12.669608,1995-10-20,115101622.0,105.0,Get Shorty,6.4
50000000,9691,11.065939,1995-10-06,30303072.0,132.0,Assassins,6.0
3600000,451,10.332025,1995-10-27,49800000.0,112.0,Leaving Las Vegas,7.1
12000000,9263,8.681325,1995-10-20,27400000.0,100.0,Now and Then,6.6
18000000,902,9.822423,1995-05-16,1738611.0,108.0,The City of Lost Children,7.6
29500000,63,12.297305,1995-12-29,168840000.0,129.0,Twelve Monkeys,7.4
30000000,9598,14.404764,1995-07-18,254134910.0,89.0,Babe,6.0
11000000,687,6.891317,1995-12-29,39363635.0,122.0,Dead Man Walking,7.3
12000000,9603,9.882383,1995-07-19,0.0,97.0,Clueless,6.9
10000000,11443,9.87957,1995-10-06,0.0,119.0,Dead Presidents,6.6
19000000,35196,10.979269,1995-12-29,0.0,117.0,Restoration,6.3
18000000,9312,10.870138,1995-08-18,122195920.0,101.0,Mortal Kombat,5.4
20000000,577,10.448481,1995-05-20,21284514.0,106.0,To Die For,6.7
10000000,11861,4.485958,1995-10-06,23574130.0,116.0,How To Make An American Quilt,6.5
33000000,807,18.45743,1995-09-22,327311859.0,127.0,Se7en,8.1
55000000,10530,13.280069,1995-06-14,346079773.0,81.0,Pocahontas,6.7
